Education_Sector,School_Name,School_Type,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,LGA_Name,X,Y
Government,Miners Rest Primary School,Primary,Dundas Street,,Miners Rest,VIC,3352,Ballarat (C),143.794703,-37.477884
Government,Glenrowan Primary School,Primary,40 Beaconsfield Parade,,Glenrowan,VIC,3675,Wangaratta (RC),146.222337,-36.460189
Government,Warrnambool Primary School,Primary,Jamieson Street,,Warrnambool,VIC,3280,Warrnambool (C),142.482572,-38.377278
Government,Undera Primary School,Primary,45-55 Anderson Street,,Undera,VIC,3629,Greater Shepparton (C),145.21893,-36.276362
Government,Dederang Primary School,Primary,4364 Kiewa Valley Highway,,Dederang,VIC,3691,Alpine (S),147.015314,-36.469255
Government,Eppalock Primary School,Primary,149 Patons Road,,Axe Creek,VIC,3551,Greater Bendigo (C),144.387727,-36.841773
Government,Silvan Primary School,Primary,269 Monbulk Road,,Silvan,VIC,3795,Yarra Ranges (S),145.42132,-37.824597
Government,Wendouree Primary School,Primary,1224 Howitt Street,,Wendouree,VIC,3355,Ballarat (C),143.828156,-37.539275
Government,Lancaster Primary School,Primary,8 Weller Road,,Lancaster,VIC,3620,Campaspe (S),145.132822,-36.31325
Government,Raywood Primary School,Primary,18-22 Sandhurst Street,,Raywood,VIC,3570,Greater Bendigo (C),144.204801,-36.53947
Government,Puckapunyal Primary School,Primary,Alamein Road,,Puckapunyal,VIC,3662,Mitchell (S),145.033509,-37.00263
Government,Landsborough Primary School,Primary,82 McKinlay Street,,Landsborough,VIC,3384,Pyrenees (S),143.135913,-37.005861
Government,Lysterfield Primary School,Primary,68 - 78 Bellfield Drive,,Lysterfield,VIC,3156,Knox (C),145.276229,-37.911598
Government,Winton Primary School,Primary,Fox Street,,Winton,VIC,3673,Benalla (RC),146.081337,-36.51633
Government,Merrigum Primary School,Primary,Judd Avenue,,Merrigum,VIC,3618,Greater Shepparton (C),145.12966,-36.369324
Government,Bethanga Primary School,Primary,5 Beardmore Street,,Bethanga,VIC,3691,Towong (S),147.09576,-36.120643
Government,Abbotsford Primary School,Primary,Lithgow Street,,Abbotsford,VIC,3067,Yarra (C),144.998814,-37.808979
Government,Newtown Primary School,Primary,157-161 Aberdeen Street,,Newtown,VIC,3220,Greater Geelong (C),144.337199,-38.145768
Government,Windsor Primary School,Primary,12 Hornby Street,,Windsor,VIC,3181,Stonnington (C),144.995689,-37.857298
Government,Narre Warren North Primary School,Primary,15-31 A'beckett Road,,Narre  Warren  North,VIC,3804,Casey (C),145.316923,-37.978585
Government,Buchan Primary School,Primary,4 Dalley Street,,Buchan,VIC,3885,East Gippsland (S),148.180816,-37.497737
Government,Anakie Primary School,Primary,2125-2135 Ballan Road,,Anakie,VIC,3213,Greater Geelong (C),144.255106,-37.912666
Government,Moolap Primary School,Primary,30 Wills Cres,,Moolap,VIC,3221,Greater Geelong (C),144.424312,-38.170957
Government,Footscray City Primary School,Primary,10 Hyde Street,,Footscray,VIC,3011,Maribyrnong (C),144.900253,-37.8064
Government,Newham Primary School,Primary,1271 Rochford Road,,Newham,VIC,3442,Macedon Ranges (S),144.5947612,-37.31214501
Government,Plenty Parklands Primary School,Primary,48 Blossom Park Drive,,Mill Park,VIC,3082,Whittlesea (C),145.0769441,-37.6697252
Government,White Hills Primary School,Primary,16 Plumridge Street,,White Hills,VIC,3550,Greater Bendigo (C),144.304152,-36.727939
Government,Mount Egerton Primary School,Primary,58 Church Street,,Mount Egerton,VIC,3352,Moorabool (S),144.1021691,-37.6285209
Government,Drouin Primary School,Primary,153-161 Princes Way,,Drouin,VIC,3818,Baw Baw (S),145.853844,-38.132857
Government,Wunghnu Primary School,Primary,12 Brunton Street,,Wunghnu,VIC,3635,Moira (S),145.4306,-36.150659
Government,Maroona Primary School,Primary,7431 Mortlake-ararat Road,,Maroona,VIC,3377,Ararat (RC),142.858473,-37.432795
Government,Jindivick Primary School,Primary,1080 Jacksons Track,,Jindivick,VIC,3818,Baw Baw (S),145.901132,-38.027622
Government,Talgarno Primary School,Primary,14 Talgarno School Lane,,Talgarno,VIC,3691,Towong (S),147.159146,-36.065797
Government,Bungaree Primary School,Primary,348 Bungaree-wallace Road,,Bungaree,VIC,3352,Moorabool (S),144.0070955,-37.55759492
Government,Little River Primary School,Primary,21 Flinders Street,,Little River,VIC,3211,Wyndham (C),144.50037,-37.965013
Government,Cowwarr Primary School,Primary,1- 11 Church Street,,Cowwarr,VIC,3857,Wellington (S),146.698964,-38.013698
Government,Morang South Primary School,Primary,77 Gorge Road,,South Morang,VIC,3752,Whittlesea (C),145.0946659,-37.65286941
Government,Camp Hill Primary School,Primary,50 Gaol Rd,,Bendigo,VIC,3550,Greater Bendigo (C),144.278038,-36.755712
Government,Pyalong Primary School,Primary,10-14 Bourke Street,,Pyalong,VIC,3521,Mitchell (S),144.857094,-37.117236
Government,Winchelsea Primary School,Primary,60 Main Street,,Winchelsea,VIC,3241,Surf Coast (S),143.9842796,-38.24449281
Government,Buln Buln Primary School,Primary,15 Old Sale Road,,Buln Buln,VIC,3821,Baw Baw (S),145.938174,-38.099354
Government,Macarthur Street Primary School,Primary,401 Macarthur Street,,Soldiers Hill,VIC,3350,Ballarat (C),143.857486,-37.55114678
Government,Elliminyt Primary School,Primary,135 Slater Street,,Elliminyt,VIC,3249,Colac-Otway (S),143.583697,-38.361351
Government,Mornington Primary School,Primary,25 Vale Street,,Mornington,VIC,3931,Mornington Peninsula (S),145.043087,-38.221806
Government,Hamilton North Primary School,Primary,34 - 50 Andrews Street,,Hamilton,VIC,3300,Southern Grampians (S),141.995148,-37.726456
Government,Mount Blowhard Primary School,Primary,527 Millers Road,,Blowhard,VIC,3352,Ballarat (C),143.7864444,-37.42924282
Government,Creswick North Primary School,Primary,93 Macs Street,,Creswick,VIC,3363,Hepburn (S),143.8908198,-37.40883711
Government,Black Hill Primary School,Primary,601 Chisholm Street,,Ballarat,VIC,3350,Ballarat (C),143.869785,-37.549844
Government,Brighton Beach Primary School,Primary,19 Windermere Crescent,,Brighton,VIC,3186,Bayside (C),144.996107,-37.922105
Government,Castlemaine North Primary School,Primary,270 Barker Street,,Castlemaine,VIC,3450,Mount Alexander (S),144.218993,-37.057835
Government,Yarrambat Primary School,Primary,552 Yan Yean Road,,Yarrambat,VIC,3091,Nillumbik (S),145.133097,-37.641245
Government,Casterton Primary School,Primary,14 - 24 Mc Pherson Street,,Casterton,VIC,3311,Glenelg (S),141.405196,-37.586549
Government,Nathalia Primary School,Primary,5 Bromley Street,,Nathalia,VIC,3638,Moira (S),145.205888,-36.057524
Government,Chilwell Primary School,Primary,313a Pakington Street,,Newtown,VIC,3220,Greater Geelong (C),144.345381,-38.155114
Government,Greensborough Primary School,Primary,130 Grimshaw Street,,Greensborough,VIC,3088,Banyule (C),145.100496,-37.703569
Government,Teesdale Primary School,Primary,Main Road,,Teesdale,VIC,3328,Golden Plains (S),144.0545907,-38.02923075
Government,Cranbourne Primary School,Primary,Bakewell Street,,Cranbourne,VIC,3977,Casey (C),145.287849,-38.111863
Government,Katamatite Primary School,Primary,4 - 6 Currajong Avenue,,Katamatite,VIC,3649,Moira (S),145.685297,-36.077354
Government,Buangor Primary School,Primary,26 School Road,,Buangor,VIC,3375,Ararat (RC),143.175019,-37.364043
Government,Leitchville Primary School,Primary,2-4 Hawken Street,,Leitchville,VIC,3567,Gannawarra (S),144.302091,-35.909548
Government,Whittlesea Primary School,Primary,2425-2435 Plenty Road,,Whittlesea,VIC,3757,Whittlesea (C),145.1140469,-37.51426809
Government,Little Bendigo Primary School,Primary,8 Monte Street,,Nerrina,VIC,3350,Ballarat (C),143.8950582,-37.54290101
Government,Newington Primary School,Primary,49 Inkerman Street,,Ballarat,VIC,3350,Ballarat (C),143.8312189,-37.56601777
Government,Warragul Primary School,Primary,44 Bowen Street,,Warragul,VIC,3820,Baw Baw (S),145.928145,-38.156345
Government,Kangaroo Ground Primary School,Primary,Cr Graham&Eltham-Yarra Glen Rd,,Kangaroo Ground,VIC,3097,Nillumbik (S),145.214656,-37.691737
Government,Traralgon South Primary School,Primary,13 - 19 Keith Morgan Drive,,Traralgon South,VIC,3844,Latrobe (C),146.540146,-38.297258
Government,Coleraine Primary School,Primary,124 Church Street,,Coleraine,VIC,3315,Southern Grampians (S),141.684038,-37.601842
Government,Ripplebrook Primary School,Primary,2260 Westernport Road,,Ripplebrook,VIC,3818,Baw Baw (S),145.758488,-38.203495
Government,Numurkah Primary School,Primary,12 Quinn Street,,Numurkah,VIC,3636,Moira (S),145.444996,-36.09024
Government,Moe (Albert Street) Primary School,Primary,40 Albert Street,,Moe,VIC,3825,Latrobe (C),146.264349,-38.174709
Government,Geelong South Primary School,Primary,200 Yarra Street,,South Geelong,VIC,3220,Greater Geelong (C),144.358566,-38.156945
Government,Bayswater Primary School,Primary,2 Birch Street,,Bayswater,VIC,3153,Knox (C),145.259358,-37.843305
Government,Minyip Primary School,Primary,21 Main Street,,Minyip,VIC,3392,Yarriambiack (S),142.584105,-36.462714
Government,Mulgrave Primary School,Primary,23-31 Gladeswood Drive,,Mulgrave,VIC,3170,Monash (C),145.197367,-37.932946
Government,Yarragon Primary School,Primary,65 Loch Street,,Yarragon,VIC,3823,Baw Baw (S),146.0609594,-38.20937414
Government,Tyers Primary School,Primary,Main Road,,Tyers,VIC,3844,Latrobe (C),146.477545,-38.149113
